type,country,count
Movie,United States,2058
Movie,India,893
TV Show,United States,760
TV Show,United Kingdom,213
Movie,United Kingdom,206
TV Show,Japan,169
TV Show,South Korea,158
Movie,Canada,122
Movie,Spain,97
Movie,Egypt,92
Movie,Nigeria,86
TV Show,India,79
Movie,Indonesia,77
Movie,Turkey,76
Movie,Japan,76
Movie,France,75
Movie,Philippines,73
Movie,Mexico,70
TV Show,Taiwan,68
Movie,"United Kingdom, United States",63
TV Show,Canada,59
Movie,"United States, Canada",51
Movie,Brazil,50
Movie,Hong Kong,50
TV Show,France,49
TV Show,Australia,48
TV Show,Spain,48
Movie,Germany,47
Movie,South Korea,41
TV Show,Mexico,40
Movie,Australia,39
Movie,Argentina,38
TV Show,China,38
Movie,"United States, United Kingdom",38
Movie,Thailand,37
Movie,"Canada, United States",32
Movie,Italy,32
TV Show,Turkey,29
Movie,China,28
TV Show,Brazil,27
Movie,South Africa,24
Movie,"France, Belgium",24
TV Show,Thailand,24
TV Show,Colombia,22
TV Show,"United States, Canada",22
TV Show,Germany,20
TV Show,Argentina,18
Movie,Poland,18
Movie,"United States, Germany",17
TV Show,Singapore,17
Movie,"Hong Kong, China",16
Movie,Malaysia,16
Movie,Netherlands,15
Movie,Pakistan,14
Movie,"United States, France",14
TV Show,Egypt,14
TV Show,Russia,14
TV Show,"Canada, United States",13
Movie,Colombia,13
Movie,"China, Hong Kong",13
Movie,Taiwan,13
Movie,United Arab Emirates,13
TV Show,Italy,13
Movie,"Germany, United States",12
TV Show,"United Kingdom, United States",12
Movie,Chile,11
Movie,"United States, Mexico",11
Movie,"Australia, United States",10
TV Show,"United States, Japan",10
Movie,New Zealand,10
Movie,"United States, Australia",10
Movie,"Japan, United States",9
Movie,"India, United States",9
Movie,Lebanon,9
TV Show,Nigeria,9
TV Show,"United States, United Kingdom",9
TV Show,Denmark,8
TV Show,Israel,8
TV Show,Sweden,8
Movie,"United States, China",8
TV Show,Belgium,8
Movie,"United States, India",8
Movie,"Mexico, United States",7
Movie,Ireland,7
Movie,"Argentina, Spain",7
Movie,Vietnam,7
TV Show,Lebanon,6
Movie,"United States, Japan",6
TV Show,Malaysia,6
TV Show,"Mexico, United States",6
Movie,Romania,6
TV Show,Poland,6
TV Show,South Africa,6
Movie,"United Kingdom, Canada, United States",6
Movie,Singapore,6
Movie,Norway,6
Movie,"France, United States",6
Movie,"India, France",5
Movie,Austria,5
Movie,Israel,5
Movie,Denmark,5
Movie,"Italy, France",5
